Rank,Movie Title,Opening,Total_Gross,Weekend_vs_Total,Theaters,Distributor,Average,Year
304,The Village,50746142,114197520,44.4,3730,Walt Disney Studios Motion Pictures,13604,2004
305,Lightyear,50577961,118307188,42.8,4255,Walt Disney Studios Motion Pictures,11886,2022
306,Dunkirk,50513488,188045546,26.9,3720,Warner Bros.,13578,2017
307,2 Fast 2 Furious,50472480,127154901,39.7,3408,Universal Pictures,14810,2003
308,Jackass 3D,50353641,117229692,43,3081,Paramount Pictures,16343,2010
309,Mr. & Mrs. Smith,50342878,186336279,27,3424,Twentieth Century Fox,14702,2005
310,Rush Hour 3,50237000,140125968,35.8,3778,New Line Cinema,13297,2007
311,Independence Day,50228264,306169268,16.4,2882,Twentieth Century Fox,17428,1996
312,A Quiet Place,50203562,188024361,26.7,3508,Paramount Pictures,14311,2018
313,The Boss Baby,50198902,175003033,28.7,3773,Twentieth Century Fox,13304,2017
314,King Kong,50130145,218080025,23,3568,Universal Pictures,14049,2005
315,The Great Gatsby,50085185,144840419,34.6,3535,Warner Bros.,14168,2013
316,It Ends with Us,50016652,148518266,33.7,3611,Sony Pictures Releasing,13851,2024
317,Scary Movie 3,49700000,110003217,45.2,3505,Dimension Films,14179,2003
318,Taken 2,49514769,139854287,35.4,3661,Twentieth Century Fox,13524,2012
319,How to Train Your Dragon 2,49451322,177002924,27.9,4253,Twentieth Century Fox,11627,2014
320,Halloween Kills,49404980,92002155,53.7,3705,Universal Pictures,13334,2021
321,Wreck-It Ralph,49038712,189422889,25.9,3752,Walt Disney Studios Motion Pictures,13070,2012
322,Neighbors,49033915,150157400,32.7,3279,Universal Pictures,14953,2014
323,Alvin and the Chipmunks: The Squeakquel,48875415,219614612,22.3,3700,Twentieth Century Fox,13209,2009
324,Tangled,48767052,200821936,24.3,3603,Walt Disney Studios Motion Pictures,13535,2010
325,Batman Begins,48745440,205343774,23.7,3858,Warner Bros.,12634,2005
326,The Matrix Revolutions,48475154,139313948,34.8,3502,Warner Bros.,13842,2003
327,Hotel Transylvania 2,48464322,169700110,28.6,3754,Sony Pictures Releasing,12910,2015
328,Sinners,48007468,278578513,17.2,3308,Warner Bros.,14512,2025
329,The Fault in Our Stars,48002523,124872350,38.4,3173,Twentieth Century Fox,15128,2014
330,Godzilla: King of the Monsters,47776293,110500138,43.2,4108,Warner Bros.,11630,2019
331,Mission: Impossible III,47743273,134029801,35.6,4054,Paramount Pictures,11776,2006
332,Lara Croft: Tomb Raider,47735743,131168070,36.4,3308,Paramount Pictures,14430,2001
333,Kung Fu Panda 2,47656302,165249063,28.8,3925,DreamWorks,12141,2011
334,The Longest Yard,47606480,158119460,30.1,3634,Paramount Pictures,13100,2005
335,Shark Tale,47604606,160861908,29.6,4016,DreamWorks Distribution,11853,2004
336,A Quiet Place Part II,47547231,160072261,29.7,3726,Paramount Pictures,12760,2021
337,Interstellar,47510360,188020017,25.3,3561,Paramount Pictures,13341,2014
338,Madagascar,47224594,193595521,24.4,4131,DreamWorks Distribution,11431,2005
339,The Lord of the Rings: The Fellowship of the Ring,47211490,313364114,15.1,3359,New Line Cinema,14055,2001
340,Die Another Day,47072040,160942139,29.2,3314,Metro-Goldwyn-Mayer (MGM),14203,2002
341,Talladega Nights: The Ballad of Ricky Bobby,47042215,148213377,31.7,3803,Sony Pictures Releasing,12369,2006
342,Ratatouille,47027395,206445654,22.8,3940,Walt Disney Studios Motion Pictures,11935,2007
343,Jurassic Park,47026828,357067947,13.2,2404,Universal Pictures,19561,1993
344,Troy,46865412,133378256,35.1,3411,Warner Bros.,13739,2004
345,The Secret Life of Pets 2,46652680,158980250,29.3,4561,Universal Pictures,10228,2019
346,Pirates of the Caribbean: The Curse of the Black Pearl,46630690,305413918,15.3,3269,Walt Disney Studios Motion Pictures,14264,2003
347,Ice Age: Continental Drift,46629259,161321843,28.9,3881,Twentieth Century Fox,12014,2012
348,Fifty Shades Darker,46607250,114581250,40.7,3710,Universal Pictures,12562,2017
349,Trolls,46581142,153856089,30.3,4060,Twentieth Century Fox,11473,2016
350,Bad Boys II,46522560,138608444,33.6,3186,Sony Pictures Releasing,14602,2003
351,Ice Age,46312454,176387405,26.3,3316,Twentieth Century Fox,13966,2002
352,Angels & Demons,46204168,133375846,34.6,3527,Sony Pictures Releasing,13100,2009
353,Meet the Fockers,46120980,279261160,16.5,3518,Universal Pictures,13110,2004
354,The Marvels,46110859,84500223,54.6,4030,Walt Disney Studios Motion Pictures,11441,2023
355,Ghostbusters,46018755,128350574,35.8,3963,Sony Pictures Releasing,11612,2016
356,Megamind,46016833,148415853,31,3944,DreamWorks,11667,2010
357,Dumbo,45990748,114766307,40.1,4259,Walt Disney Studios Motion Pictures,10798,2019
358,Batman Returns,45687711,162831698,28.1,2644,Warner Bros.,17279,1992
359,Mission: Impossible,45436830,180981856,25.1,3012,Paramount Pictures,15085,1996
360,Mad Max: Fury Road,45428128,153636354,29.6,3702,Warner Bros.,12271,2015
361,The Meg,45402195,145443742,31.2,4118,Warner Bros.,11025,2018
362,Ghost Rider,45388836,115802596,39.2,3619,Sony Pictures Releasing,12541,2007
363,American Pie 2,45117985,145103595,31.1,3063,Universal Pictures,14729,2001
364,300: Rise of an Empire,45038460,106580051,42.3,3470,Warner Bros.,12979,2014
365,Horton Hears a Who!,45012998,154529439,29.1,3954,Twentieth Century Fox,11384,2008
366,Ghostbusters: Frozen Empire,45004673,113376590,39.7,4345,Sony Pictures Releasing,10357,2024
367,The Hangover,44979319,277322503,16.2,3269,Warner Bros.,13759,2009
368,National Treasure: Book of Secrets,44783772,219964115,20.4,3832,Walt Disney Studios Motion Pictures,11686,2007
369,Transformers: The Last Knight,44680073,130168683,34.3,4069,Paramount Pictures,10980,2017
370,The Hunger Games: The Ballad of Songbirds & Snakes,44607143,166350594,26.8,3776,Lionsgate,11813,2023
371,xXx,44506103,142109382,31.3,3374,Revolution Studios,13190,2002
372,Scream VI,44447270,108391107,41,3675,Paramount Pictures,12094,2023
373,Nope,44366910,123277080,36,3785,Universal Pictures,11721,2022
374,Alvin and the Chipmunks,44307417,217326974,20.4,3475,Twentieth Century Fox,12750,2007
375,The Peanuts Movie,44213073,130178411,34,3897,Twentieth Century Fox,11345,2015
376,Hotel Transylvania 3: Summer Vacation,44076225,167510016,26.3,4267,Sony Pictures Releasing,10329,2018
377,Godzilla,44047541,136314294,32.3,3310,Sony Pictures Releasing,13307,1998
378,Terminator 3: Rise of the Machines,44041440,150371112,29.3,3504,Warner Bros.,12568,2003
379,Tron: Legacy,44026211,172062763,25.6,3451,Walt Disney Studios Motion Pictures,12757,2010
380,Uncharted,44010155,148648820,29.6,4275,Sony Pictures Releasing,10294,2022
381,Ghostbusters: Afterlife,44008406,129360575,34,4315,Sony Pictures Releasing,10198,2021
382,Lucy,43899340,126663600,34.7,3173,Universal Pictures,13835,2014
383,How to Train Your Dragon,43732319,217581231,20.1,4055,DreamWorks,10784,2010
384,Noah,43720472,101200044,43.2,3567,Paramount Pictures,12256,2014
385,The Croods,43639736,187168425,23.3,4046,Twentieth Century Fox,10785,2013
386,American Gangster,43565135,130164645,33.5,3054,Universal Pictures,14264,2007
387,Weapons,43501217,151495295,28.7,3202,Warner Bros.,13585,2025
388,The Mummy,43369635,155516138,27.9,3210,Universal Pictures,13510,1999
389,Hitch,43142214,179495555,24,3575,Sony Pictures Releasing,12067,2005
390,A Star Is Born,42908051,215288866,19.9,3686,Warner Bros.,11640,2018
391,Batman & Robin,42872605,107325195,40,2934,Warner Bros.,14612,1997
392,Terminator Salvation,42558390,125322469,34,3530,Warner Bros.,12056,2009
393,Hotel Transylvania,42522194,148313048,28.7,3349,Sony Pictures Releasing,12696,2012
394,Nutty Professor II: The Klumps,42518830,123309890,34.5,3242,Universal Pictures,13115,2000
395,Shrek,42347760,268200241,15.8,3587,DreamWorks Distribution,11805,2001
396,Scary Movie,42346669,157019771,27,2912,Miramax,14542,2000
397,Anger Management,42220847,135645823,31.1,3551,Revolution Studios,11889,2003
398,Snow White,42206415,87203963,48.4,4200,Walt Disney Studios Motion Pictures,10049,2025
399,Fantastic Beasts: The Secrets of Dumbledore,42151256,95850844,44,4208,Warner Bros.,10016,2022
400,High School Musical 3: Senior Year,42030184,90559416,46.4,3623,Walt Disney Studios Motion Pictures,11600,2008
401,Alien: Romulus,42003361,105313091,39.9,3885,20th Century Studios,10811,2024
402,The Conjuring,41855326,137400141,30.5,2903,Warner Bros.,14417,2013
403,Ready Player One,41764050,137690172,30.3,4234,Warner Bros.,9863,2018
404,Ice Age: Dawn of the Dinosaurs,41690382,196573705,21.2,4099,Twentieth Century Fox,10170,2009
405,The Hangover Part III,41671198,112200072,37.1,3555,Warner Bros.,11721,2013
406,Ocean's Eight,41607378,140218711,29.7,4145,Warner Bros.,10037,2018
407,Big Daddy,41536370,163479795,25.4,3027,Sony Pictures Releasing,13721,1999
408,Happy Feet,41533432,198000317,21,3804,Warner Bros.,10918,2006
409,Ride Along,41516170,134938200,30.8,2663,Universal Pictures,15590,2014
410,Grown Ups 2,41508572,133668525,31,3491,Sony Pictures Releasing,11890,2013
411,The Perfect Storm,41325042,182618434,22.6,3407,Warner Bros.,12129,2000
412,Kung Fu Panda 3,41282042,143528619,28.8,3955,Twentieth Century Fox,10437,2016
413,The Vow,41202458,125014030,33,2958,Screen Gems,13929,2012
414,Deep Impact,41152375,140464664,29.3,3156,Paramount Pictures,13039,1998
415,Once Upon a Time... in Hollywood,41082018,142502728,28.8,3659,Sony Pictures Releasing,11227,2019
416,Shutter Island,41062440,128012934,32.1,2991,Paramount Pictures,13728,2010
417,Twister,41059405,241721524,17,2414,Warner Bros.,17008,1996
418,Independence Day: Resurgence,41039944,103144286,39.8,4130,Twentieth Century Fox,9937,2016
419,Madea Goes to Jail,41030947,90508336,45.3,2032,Lionsgate,20192,2009
420,Dune: Part One,41011174,108327830,37.9,4125,Warner Bros.,9942,2021
421,Casino Royale,40833156,167445960,24.4,3434,Sony Pictures Releasing,11890,2006
422,Paranormal Activity 2,40678424,84752907,48,3216,Paramount Pictures,12648,2010
423,Friday the 13th,40570365,65002019,62.4,3105,Warner Bros.,13066,2009
424,Grown Ups,40506562,162001186,25,3534,Sony Pictures Releasing,11461,2010
425,G.I. Joe: Retaliation,40501814,122523060,33.1,3719,Paramount Pictures,10890,2013
426,Batman,40489746,251188924,16.1,2194,Warner Bros.,18454,1989
427,The Mummy: Tomb of the Dragon Emperor,40457770,102491776,39.5,3760,Universal Pictures,10760,2008
428,The Conjuring 2,40406314,102470008,39.4,3343,Warner Bros.,12086,2016
429,Glass,40328920,111048468,36.3,3841,Universal Pictures,10499,2019
430,The Last Airbender,40325019,131772187,30.6,3169,Paramount Pictures,12724,2010
431,Daredevil,40310419,102543518,39.3,3471,Twentieth Century Fox,11613,2003
432,Power Rangers,40300288,85364450,47.2,3693,Lionsgate,10912,2017
433,Insidious: Chapter 2,40272103,83586447,48.2,3049,FilmDistrict,13208,2013
434,Scary Movie 4,40222875,90710620,44.3,3602,Dimension Films,11166,2006
435,Safe House,40172720,126373434,31.8,3119,Universal Pictures,12880,2012
436,Charlie's Angels,40128550,125305545,32,3037,Sony Pictures Releasing,13213,2000
437,The Fast and the Furious,40089015,144533925,27.7,2628,Universal Pictures,15254,2001
438,Cloverfield,40058229,80048433,50,3411,Paramount Pictures,11743,2008
439,Halloween Ends,40050355,64079860,62.5,3901,Universal Pictures,10266,2022
440,Chicken Little,40049778,135386665,29.6,3654,Walt Disney Studios Motion Pictures,10960,2005
441,Click,40011365,137355633,29.1,3749,Revolution Studios,10672,2006
442,Split,40010975,138291365,28.9,3038,Universal Pictures,13170,2017
443,50 First Dates,39852237,120908074,33,3591,Sony Pictures Releasing,11097,2004
444,Wild Hogs,39699023,168273550,23.6,3287,Walt Disney Studios Motion Pictures,12077,2007
445,Sherlock Holmes: A Game of Shadows,39637079,186848418,21.2,3703,Warner Bros.,10704,2011
446,The Waterboy,39414071,161491646,24.4,2664,Walt Disney Studios Motion Pictures,14795,1998
447,Rio 2,39327869,131538435,29.9,3948,Twentieth Century Fox,9961,2014
448,Rio,39225962,143619809,27.3,3826,Twentieth Century Fox,10252,2011
449,Taken 3,39201657,89256424,43.9,3594,Twentieth Century Fox,10907,2015
450,The Break-Up,39172785,118703275,33,3070,Universal Pictures,12759,2006
451,The Good Dinosaur,39155217,123087120,31.8,3749,Walt Disney Studios Motion Pictures,10444,2015
452,Ocean's Twelve,39153380,125544280,31.2,3290,Warner Bros.,11900,2004
